"geschlecht";"spezialisierung_schule";"score_schule";"specialsisierung_hochschule";"score_hochschule";"berufserfahrung";"score_berufsfaehigkeit";"job"
"M";"Wissenschaft";77,4;"HR";66,83;"Ja";85,2;"Ja"
"M";"Wissenschaft";80,2;"HR";70,68;"Ja";97,3;"Ja"
"M";"Wissenschaft";49,8;"Fin";51,88;"Ja";53,1;"Nein"
"M";"Wissenschaft";60,9;"HR";60,29;"Nein";86,7;"Nein"
"M";"Handel";49,7;"HR";63,12;"Nein";59,83;"Nein"
"M";"Handel";81,6;"Fin";58,31;"Nein";85,5;"Ja"
"M";"Handel";87,8;"Fin";65,76;"Ja";74,2;"Ja"
"M";"Handel";71,5;"Fin";67,68;"Nein";66,4;"Ja"
"M";"Wissenschaft";62,1;"Fin";63,2;"Ja";55;"Ja"
"F";"Wissenschaft";63,1;"Fin";73,87;"Ja";97,2;"Ja"
"M";"Wissenschaft";67,1;"Fin";67,16;"Nein";75;"Ja"
"F";"Wissenschaft";62,7;"HR";70,44;"Nein";75,5;"Nein"
"M";"Handel";61,7;"HR";60,38;"Ja";63,6;"Ja"
"M";"Handel";63,6;"HR";59,21;"Nein";55,5;"Ja"
"F";"Handel";59,2;"HR";57,6;"Nein";53;"Ja"
"M";"Wissenschaft";59,7;"Fin";66,25;"Nein";88,8;"Ja"
"M";"Handel";76,5;"HR";59,05;"Ja";83,2;"Ja"
"M";"Kunst";68,6;"Fin";58;"Nein";73,1;"Ja"
"M";"Wissenschaft";61,33;"HR";61,92;"Nein";61,3;"Nein"
"M";"Handel";75,9;"Fin";64,05;"Ja";74,35;"Ja"
"M";"Handel";64,1;"HR";53,91;"Nein";70,7;"Nein"
"M";"Wissenschaft";52,1;"HR";60,23;"Nein";66,1;"Nein"
"M";"Handel";65,6;"HR";58,09;"Nein";66,8;"Ja"
"F";"Handel";66;"Fin";66,98;"Nein";60,7;"Nein"
"F";"Handel";75,2;"Fin";64,36;"Ja";71,9;"Ja"
"M";"Handel";63,09;"Fin";60,69;"Nein";88,7;"Ja"
"M";"Handel";65,8;"Fin";59,07;"Nein";82,7;"Ja"
"M";"Handel";63,4;"Fin";56,11;"Nein";60,9;"Ja"
"M";"Handel";68,1;"Fin";63,24;"Ja";60,7;"Ja"
"M";"Handel";63;"Fin";57,73;"Nein";68,4;"Ja"
"M";"Wissenschaft";68,1;"Fin";62,26;"Nein";95,1;"Ja"
"M";"Handel";72,2;"Fin";58,08;"Nein";59,5;"Ja"
"M";"Wissenschaft";63,4;"HR";56,89;"Ja";85,9;"Nein"
"M";"Kunst";57,2;"HR";60,74;"Ja";65,35;"Nein"
"F";"Handel";76,2;"Fin";67,42;"Nein";59,3;"Ja"
"M";"Handel";64;"Fin";68,5;"Nein";84,67;"Ja"
"F";"Handel";48,5;"HR";58,64;"Nein";78,7;"Nein"
"F";"Handel";90,2;"Fin";68,03;"Nein";92,8;"Ja"
"M";"Wissenschaft";42,66;"HR";66,18;"Nein";57,38;"Nein"
"F";"Handel";91;"Fin";66,73;"Ja";93,7;"Ja"
"F";"Wissenschaft";73,4;"HR";63,78;"Nein";65,9;"Ja"
"F";"Wissenschaft";68,7;"HR";55,9;"Nein";59,8;"Ja"
"M";"Handel";89,7;"HR";72,42;"Nein";78,9;"Ja"
"F";"Wissenschaft";76;"HR";56,67;"Nein";57,8;"Ja"
"F";"Handel";62,5;"HR";67,5;"Nein";73,6;"Nein"
"M";"Handel";62,8;"Fin";61,36;"Nein";64,2;"Ja"
"M";"Handel";71,8;"HR";61,34;"Nein";77,5;"Ja"
"M";"Wissenschaft";62,2;"HR";58,13;"Ja";54,7;"Ja"
"F";"Wissenschaft";73,18;"HR";71,23;"Nein";69;"Nein"
"M";"Wissenschaft";57,3;"Fin";59,19;"Ja";60,8;"Ja"
"M";"Wissenschaft";40,2;"HR";59,11;"Nein";72,6;"Nein"
"F";"Handel";65,43;"HR";57,19;"Nein";59,5;"Nein"
"F";"Wissenschaft";60,1;"HR";62,02;"Nein";92,36;"Nein"
"M";"Wissenschaft";67,7;"Fin";70,33;"Nein";96,8;"Ja"
"M";"Handel";56;"Fin";64,44;"Nein";59,2;"Nein"
"M";"Handel";44,9;"HR";55,16;"Nein";75,8;"Nein"
"F";"Handel";95,9;"Fin";70,31;"Ja";89,7;"Ja"
"M";"Wissenschaft";56;"HR";68,87;"Nein";73,6;"Ja"
"M";"Handel";64,4;"Fin";55,44;"Ja";57,6;"Ja"
"M";"Handel";67,5;"Fin";69,92;"Ja";60;"Ja"
"M";"Handel";69,6;"Fin";51,41;"Nein";53,8;"Nein"
"M";"Handel";83,1;"Fin";72,59;"Nein";93,7;"Ja"
"M";"Wissenschaft";74;"Fin";69,15;"Nein";80,1;"Ja"
"F";"Wissenschaft";63,7;"HR";66,33;"Nein";57,6;"Nein"
"F";"Wissenschaft";68,8;"Fin";64,84;"Ja";68;"Ja"
"M";"Wissenschaft";90,9;"Fin";59,72;"Nein";85,54;"Ja"
"F";"Handel";60,8;"Fin";60,61;"Ja";58,5;"Ja"
"M";"Kunst";64,4;"Fin";58,31;"Ja";76,6;"Nein"
"M";"Handel";61,3;"HR";59,35;"Ja";60,4;"Ja"
"M";"Wissenschaft";65;"HR";60,51;"Nein";61,48;"Ja"
"M";"Handel";65,1;"HR";56,8;"Nein";50;"Ja"
"M";"Handel";56,9;"HR";52,14;"Nein";84,8;"Ja"
"F";"Wissenschaft";63,6;"Fin";60,69;"Nein";59,4;"Ja"
"M";"Handel";77,9;"Fin";58,95;"Ja";94,5;"Ja"
"M";"Wissenschaft";96,6;"Fin";73,51;"Nein";97,3;"Ja"
"F";"Handel";62;"HR";64,26;"Nein";57,5;"Ja"
"M";"Wissenschaft";58;"Fin";61,88;"Ja";85,3;"Ja"
"M";"Wissenschaft";69,5;"Fin";57,14;"Ja";59,8;"Ja"
"F";"Handel";68,5;"HR";69,68;"Nein";58,56;"Nein"
"M";"Wissenschaft";64,4;"Fin";52,6;"Ja";70,6;"Ja"
"F";"Handel";77,93;"Fin";74,56;"Nein";80,1;"Nein"
"F";"Handel";71,4;"Fin";72,33;"Nein";75,2;"Ja"
"M";"Handel";73,3;"Fin";64,38;"Nein";61,5;"Ja"
"M";"Handel";68,6;"Fin";64,04;"Ja";82,26;"Ja"
"M";"Wissenschaft";63,8;"Fin";64,06;"Ja";94,6;"Ja"
"F";"Wissenschaft";57,7;"HR";58,76;"Nein";53,3;"Ja"
"M";"Wissenschaft";72,5;"HR";72,59;"Ja";74,7;"Ja"
"M";"Handel";86,4;"HR";62,3;"Nein";94,7;"Ja"
"F";"Wissenschaft";62,8;"Fin";57,9;"Nein";88,8;"Ja"
"F";"Wissenschaft";54,8;"HR";65,64;"Nein";62,8;"Nein"
"M";"Wissenschaft";65,78;"Fin";54,26;"Nein";59,6;"Ja"
"F";"Wissenschaft";56,7;"HR";64,43;"Nein";54,6;"Ja"
"M";"Wissenschaft";69,4;"HR";52,62;"Ja";79,2;"Ja"
"F";"Handel";46,83;"HR";64,49;"Nein";71,2;"Nein"
"M";"Handel";78,7;"Fin";70,95;"Ja";88,46;"Ja"
"F";"Kunst";37,6;"HR";55,51;"Nein";65,2;"Nein"
"M";"Handel";74,5;"Fin";60,38;"Nein";84,2;"Ja"
"M";"Handel";64,4;"HR";55,6;"Nein";71,8;"Ja"
"F";"Handel";70,5;"Fin";62,2;"Nein";51,5;"Nein"
"F";"Wissenschaft";71,8;"HR";70,53;"Nein";82,8;"Ja"
"M";"Wissenschaft";50;"Fin";66,19;"Nein";70,3;"Nein"
"M";"Handel";75,06;"HR";64,99;"Ja";56,45;"Nein"
"F";"Handel";62,46;"HR";67,86;"Ja";63,9;"Nein"
"M";"Handel";78,2;"Fin";60,29;"Nein";68,51;"Ja"
"M";"Handel";61,7;"Fin";53,73;"Nein";93,5;"Ja"
"F";"Wissenschaft";64,9;"Fin";72,88;"Ja";87,5;"Ja"
"M";"Wissenschaft";59,3;"Fin";52,52;"Nein";74,2;"Ja"
"F";"Wissenschaft";62,3;"HR";69,29;"Nein";74,5;"Nein"
"F";"Handel";61,8;"HR";62,65;"Ja";68,6;"Ja"
"M";"Wissenschaft";66,76;"HR";63,13;"Nein";73,5;"Ja"
"F";"Handel";62,9;"Fin";69,03;"Nein";95,31;"Nein"
"F";"Wissenschaft";75,4;"HR";62,06;"Ja";61,9;"Ja"
"M";"Handel";69,2;"Fin";65,3;"Ja";59,6;"Ja"
"F";"Handel";90,43;"Fin";75,68;"Ja";80,04;"Ja"
"F";"Wissenschaft";67,1;"HR";72,49;"Ja";57,47;"Ja"
